# Generated by scripts/build-icon-map.ts — do not edit.
# kind	match	key	source	variant	licence	brand_hex	dark_ink
domain	amazon.in	amazon	thesvg	color	Fair use	#FF9900	
domain	amazon.it	amazon	thesvg	color	Fair use	#FF9900	
domain	amd.com	amd	gilbarbara	color	CC0-1.0		1
domain	ameblo.jp	ameba	thesvg	color	CC0-1.0	#2D8C3C	
domain	americanexpress.com	americanexpress	thesvg	color	CC0-1.0	#2E77BC	
domain	ameriprise.com	ameriprisefinancial	thesvg	color	Fair Use	#006DB6	1
domain	amp.dev	amp	gilbarbara	color	CC0-1.0		
domain	ampersandjs.com	ampersand	gilbarbara	color	CC0-1.0		
domain	amplication.com	amplication	gilbarbara	color	CC0-1.0		
domain	amplitude.com	amplitude	gilbarbara	color	CC0-1.0		1
domain	amul.com	amul	thesvg	color	CC0-1.0	#ED1D24	
domain	amulinfo.com	amulinfo	thesvg	color	CC0-1.0	#BC9545	
domain	ana.co.jp	ana	thesvg	color	CC0-1.0	#13448F	1
domain	anaconda.com	anaconda	thesvg	color	CC0-1.0	#44A833	
domain	analog.com	ltspice	thesvg	color	CC0-1.0	#900028	1
domain	analogjs.org	analog	gilbarbara	color	CC0-1.0		
domain	analogue.co	analogue	thesvg	color	CC0-1.0	#1A1A1A	1
domain	anbtx.com	anb	thesvg	color	Fair Use	#004B87	
domain	andela.com	andela	thesvg	color	CC0-1.0	#173B3F	1
domain	android.com	android	gilbarbara	color	CC0-1.0		
domain	angel.co	angellist	gilbarbara	color	CC0-1.0		1
domain	angular.io	angular	gilbarbara	color	CC0-1.0		
domain	anichart.net	anichart	thesvg	color	CC0-1.0	#41B1EA	
domain	anilist.co	anilist	thesvg	color	CC0-1.0	#02A9FF	
domain	animalplanet.com	animalplanet	thesvg	color	CC0-1.0	#0073FF	
domain	animejs.com	animedotjs	thesvg	color	CC0-1.0	#000000	1
domain	anker.com	anker	thesvg	color	CC0-1.0	#00A2DC	1
domain	ankermake.com	ankermake	thesvg	color	CC0-1.0	#88F387	
domain	ansible.com	ansible	gilbarbara	color	CC0-1.0		
domain	answer.dev	answer	thesvg	color	CC0-1.0	#0033FF	1
domain	ansys.com	ansys	thesvg	color	CC0-1.0	#FFB71B	
domain	ant.design	antdesign	gilbarbara	color	CC0-1.0		
domain	anta.com	anta	thesvg	color	CC0-1.0	#D70010	
domain	antena3.com	antena3	thesvg	color	CC0-1.0	#FF7328	
domain	antfu.me	unocss	gilbarbara	color	CC0-1.0		
domain	antgroup.com	antgroup	thesvg	color	MIT	#1677ff	
domain	anthropic.com	anthropic	gilbarbara	color	CC0-1.0		1
domain	antigravity.google	antigravitygoogle	thesvg	color	MIT	#fff	
domain	antv.vision	antv	thesvg	color	CC0-1.0	#8B5DFF	
domain	anycubic.com	anycubic	thesvg	color	CC0-1.0	#476695	
domain	anydesk.com	anydesk	thesvg	color	CC0-1.0	#EF443B	
domain	anyscale.com	anyscale	thesvg	color	MIT	#0163FB	
domain	apachefriends.org	xampp	gilbarbara	color	CC0-1.0		
domain	aparat.com	aparat	thesvg	color	CC0-1.0	#ED145B	
domain	apiary.io	apiary	gilbarbara	color	CC0-1.0		
domain	apidog.com	apidog	gilbarbara	color	CC0-1.0		
domain	apifox.com	apifox	thesvg	color	CC0-1.0	#F44A53	
domain	apmterminals.com	apmterminals	thesvg	color	CC0-1.0	#FF6441	
domain	apollo.io	apollodotio	thesvg	color	MIT	#000000	
domain	apollographql.com	apollographql	thesvg	color	CC0-1.0	#311C87	1
domain	apollostack.com	apollostack	gilbarbara	color	CC0-1.0		1
domain	apostrophecms.com	apostrophe	gilbarbara	color	CC0-1.0		
domain	appbase.io	appbaseio	gilbarbara	color	CC0-1.0		1
domain	appcenter.ms	appcenter	gilbarbara	color	CC0-1.0		
domain	appcircle.io	appcircle	gilbarbara	color	CC0-1.0		
domain	appcues.com	appcues	thesvg	color	brand-use	#5C2D91	1
domain	appdynamics.com	appdynamics	gilbarbara	color	CC0-1.0		1
domain	appian.com	appian	thesvg	color	CC0-1.0	#2322F0	1
domain	appimage.org	appimage	thesvg	color	CC0-1.0	#739FB9	
domain	appium.io	appium	gilbarbara	color	CC0-1.0		1
domain	apple.co.uk	apple	gilbarbara	color	CC0-1.0		1
domain	apple.com	apple	gilbarbara	color	CC0-1.0		1
domain	applitools.com	applitools	gilbarbara	color	CC0-1.0		
domain	appsignal.com	appsignal	gilbarbara	color	CC0-1.0		1
domain	appsmith.com	appsmith	thesvg	color	CC0-1.0	#2A2F3D	1
domain	apptentive.com	apptentive	gilbarbara	color	CC0-1.0		
domain	appveyor.com	appveyor	gilbarbara	color	CC0-1.0		
domain	appwrite.io	appwrite	gilbarbara	color	CC0-1.0		
domain	arangodb.com	arangodb	gilbarbara	color	CC0-1.0		
domain	arc.codes	architect	gilbarbara	color	CC0-1.0		1
domain	arc.net	arc	gilbarbara	color	CC0-1.0		
domain	arcee.ai	arcee	thesvg	color	MIT	#008C8C	
domain	archive.org	internetarchive	thesvg	color	CC0-1.0	#666666	
domain	archiveofourown.org	archiveofourown	thesvg	color	CC0-1.0	#990000	1
